number,temperature,rainfall,humidity,apple_yeild
735,40.00,37.00,33.00,35.9
736,51.00,72.00,26.00,42.7
737,91.00,53.00,93.00,84.4
738,99.00,66.00,83.00,84.4
739,23.00,75.00,37.00,40.4
740,21.00,65.00,27.00,32.8
741,25.00,57.00,61.00,49.4
742,89.00,33.00,30.00,48.3
743,88.00,69.00,51.00,65.7
744,27.00,72.00,63.00,54.0
745,68.00,24.00,93.00,71.7
746,80.00,80.00,33.00,56.5
747,98.00,30.00,33.00,51.9
748,87.00,26.00,76.00,69.3
749,51.00,40.00,28.00,37.3
750,72.00,57.00,82.00,74.0
751,23.00,61.00,54.00,46.1
752,25.00,77.00,62.00,53.9
753,95.00,86.00,55.00,73.2
754,50.00,29.00,99.00,70.3
755,85.00,32.00,72.00,67.9
756,57.00,63.00,59.00,59.2
757,73.00,99.00,92.00,87.7
758,31.00,32.00,49.00,40.2
759,50.00,94.00,30.00,48.8
760,71.00,94.00,33.00,56.6
761,24.00,80.00,48.00,47.2
762,95.00,63.00,88.00,85.1
763,21.00,99.00,55.00,53.6
764,36.00,34.00,89.00,62.1
765,59.00,33.00,28.00,38.3
766,51.00,23.00,85.00,62.4
767,76.00,50.00,79.00,72.3
768,37.00,69.00,34.00,41.9
769,33.00,33.00,36.00,34.5
